Date,Time,BPM
2020-06-30,23:18:46,76
2020-06-30,23:18:47,82
2020-07-01,19:27:41,103
2020-07-01,19:27:42,93
2020-07-01,19:27:44,90
2020-07-01,19:27:44,93
2020-07-01,19:27:45,97
2020-07-01,19:27:45,98
2020-07-01,19:27:46,95
2020-07-01,19:27:47,100
2020-07-01,19:27:47,104
2020-07-01,19:27:48,103
2020-07-01,19:27:48,98
2020-07-01,19:27:49,81
2020-07-01,19:27:52,77
2020-07-01,19:28:00,87
2020-07-01,19:28:00,88
2020-07-01,19:28:01,87
2020-07-01,19:28:02,87
2020-07-02,15:13:06,76
2020-07-02,15:13:09,91
2020-07-02,15:13:09,94
2020-07-02,15:13:10,94
2020-07-02,15:13:11,88
2020-07-02,15:13:11,81
2020-07-02,15:13:12,75
2020-07-02,15:13:13,81
2020-07-02,15:13:14,79
2020-07-02,15:13:15,72
2020-07-02,15:13:15,63
2020-07-02,15:13:18,73
2020-07-02,15:13:19,70
2020-07-02,15:13:20,75
2020-07-02,15:13:20,79
2020-07-02,15:13:22,86
2020-07-02,15:13:23,88
2020-07-02,15:13:24,80
2020-07-02,15:13:27,71
2020-07-02,15:13:28,65
2020-07-02,15:13:29,66
2020-07-02,15:51:25,80
2020-07-02,15:51:29,77
2020-07-02,15:51:30,83
2020-07-02,15:51:30,87
2020-07-02,15:51:31,89
2020-07-02,15:51:32,87
2020-07-02,15:51:32,72
2020-07-02,15:51:33,68
2020-07-02,15:51:34,72
2020-07-02,15:51:35,81
2020-07-02,15:51:36,79
2020-07-02,15:51:36,75
2020-07-02,15:51:37,72
2020-07-02,15:51:38,80
2020-07-02,15:51:43,80
2020-07-02,15:51:46,80
2020-07-02,15:51:46,79
2020-07-02,15:52:10,80
2020-07-02,15:52:10,80
2020-07-02,15:52:11,68
2020-07-02,15:52:12,70
2020-07-02,15:52:13,79
2020-07-03,00:39:14,83
2020-07-03,00:39:14,82
2020-07-03,00:39:15,81
2020-07-03,00:39:16,81
2020-07-03,00:39:17,86
2020-07-03,00:39:17,84
2020-07-03,00:39:18,83
2020-07-03,00:39:19,79
2020-07-03,00:39:20,82
2020-07-05,20:29:32,102
2020-07-05,20:29:41,102
2020-07-05,20:29:41,104
2020-07-05,20:29:42,100
2020-07-05,20:29:43,98
2020-07-05,20:29:47,102
2020-07-05,20:29:48,98
2020-07-05,20:29:49,102
2020-07-05,20:29:49,103
2020-07-05,20:29:54,103
2020-07-05,20:29:55,104
2020-07-05,20:29:56,106
2020-07-05,20:29:56,110
2020-07-05,20:29:57,109
2020-07-05,20:29:57,111
2020-07-05,20:29:58,107
2020-07-05,20:29:58,102
2020-07-05,20:29:59,96
2020-07-05,20:30:00,97
2020-07-05,20:30:04,101
2020-07-05,20:30:05,104
2020-07-05,20:30:06,105
2020-07-05,20:30:06,103
2020-07-05,20:30:07,100
2020-07-05,20:30:07,104
2020-07-05,20:30:08,104
2020-07-05,20:30:08,105
2020-07-05,20:30:09,104
2020-07-05,20:30:10,107
2020-07-05,20:30:10,108
2020-07-05,20:30:11,107
2020-07-05,20:30:11,107
2020-07-05,20:30:12,102
2020-07-05,22:23:16,88
2020-07-05,22:23:17,80
2020-07-05,22:23:18,75
2020-07-05,22:23:19,70
2020-07-05,22:23:19,75
2020-07-05,22:23:20,83
2020-07-05,22:23:21,81
2020-07-05,22:23:22,72
2020-07-05,22:23:22,68
2020-07-05,22:23:23,76
2020-07-05,22:23:24,81
2020-07-05,22:23:25,74
2020-07-05,22:23:26,64
2020-07-05,22:23:27,69
2020-07-05,22:23:27,75
2020-07-05,22:23:28,70
2020-07-05,22:23:29,65
2020-07-05,22:23:30,75
2020-07-05,22:23:31,78
2020-07-05,22:23:32,75
2020-07-05,22:23:32,74
2020-07-05,22:23:33,80
2020-07-05,22:23:34,77
2020-07-05,22:23:35,70
2020-07-05,22:24:01,76
2020-07-05,22:24:01,77
2020-07-05,22:24:02,77
2020-07-05,23:18:15,83
2020-07-05,23:18:16,75
2020-07-05,23:18:17,61
2020-07-05,23:18:18,63
2020-07-05,23:18:19,71
2020-07-05,23:18:20,74
2020-07-05,23:18:21,67
2020-07-05,23:18:21,63
2020-07-05,23:18:22,65
2020-07-05,23:18:23,74
2020-07-05,23:18:24,75
2020-07-05,23:18:25,71
2020-07-05,23:18:26,65
2020-07-05,23:18:27,72
2020-07-05,23:18:27,76
2020-07-05,23:18:28,73
2020-07-05,23:18:29,70
2020-07-05,23:18:30,66
2020-07-05,23:18:31,71
2020-07-05,23:18:32,78
2020-07-05,23:18:32,72
2020-07-05,23:18:33,67
2020-07-05,23:18:34,70
2020-07-05,23:18:35,77
2020-07-05,23:18:36,72
2020-07-05,23:18:37,66
2020-07-05,23:18:38,63
2020-07-05,23:18:38,71
2020-07-05,23:18:39,69
2020-07-05,23:18:40,68
2020-07-05,23:18:41,70
2020-07-05,23:18:42,76
2020-07-05,23:18:43,74
2020-07-05,23:18:44,70
2020-07-05,23:18:44,68
2020-07-05,23:18:45,81
2020-07-05,23:18:48,69
2020-07-05,23:18:49,78
2020-07-05,23:18:50,78
2020-07-05,23:18:51,73
2020-07-05,23:18:52,72
2020-07-05,23:18:52,77
2020-07-05,23:18:53,82
2020-07-05,23:18:54,81
2020-07-05,23:18:55,78
2020-07-05,23:18:55,71
2020-07-05,23:18:56,70
2020-07-05,23:19:07,80
2020-07-05,23:19:08,72
2020-07-09,19:04:48,80
2020-07-09,19:04:49,73
2020-07-09,19:04:50,73
2020-07-09,19:04:50,80
2020-07-09,19:04:51,71
2020-07-09,19:04:52,69
2020-07-09,19:04:53,75
2020-07-09,19:04:54,73
2020-07-09,19:04:55,71
2020-07-09,19:04:55,75
2020-07-09,19:04:56,77
2020-07-09,19:04:57,80
2020-07-09,19:04:58,80
2020-07-09,19:04:58,89
2020-07-09,19:04:59,85
2020-07-09,19:05:00,78
2020-07-09,19:05:01,73
2020-07-09,19:05:01,84
2020-07-09,19:05:02,83
2020-07-09,19:05:03,82
2020-07-09,19:05:39,87
2020-07-09,19:05:39,94
2020-07-09,19:05:40,89
2020-07-09,19:05:41,75
2020-07-09,19:05:42,67
2020-07-09,19:05:43,66
2020-07-09,19:05:45,83
2020-07-09,20:32:03,76
2020-07-09,20:32:03,70
2020-07-09,20:32:04,70
2020-07-09,20:32:05,72
2020-07-09,20:32:06,64
2020-07-09,20:32:07,57
2020-07-09,20:32:08,61
2020-07-09,20:32:09,70
2020-07-09,20:32:10,63
2020-07-09,20:32:13,72
2020-07-09,20:32:13,74
2020-07-09,20:32:14,77
2020-07-09,20:32:15,68
2020-07-09,20:32:16,63
2020-07-09,20:32:17,67
2020-07-09,20:32:18,75
2020-07-09,20:32:19,61
2020-07-10,16:37:50,80
2020-07-10,16:37:51,88
2020-07-10,16:37:51,89
2020-07-10,16:37:52,91
2020-07-10,16:37:53,90
2020-07-10,16:37:53,88
2020-07-10,16:37:54,87
2020-07-10,16:37:55,85
2020-07-10,16:37:55,85
2020-07-10,16:37:56,86
2020-07-10,16:37:57,89
2020-07-10,16:37:57,91
2020-07-10,16:37:58,94
2020-07-10,16:37:59,86
2020-07-10,16:37:59,80
2020-07-10,16:38:00,78
2020-07-10,16:38:01,81
2020-07-10,16:38:02,85
2020-07-10,16:38:02,82
2020-07-10,16:38:03,79
2020-07-10,16:38:04,81
2020-07-10,16:38:09,88
2020-07-10,16:38:09,93
2020-07-10,16:38:10,95
2020-07-10,16:38:11,97
2020-07-10,16:38:11,97
2020-07-10,16:38:12,98
2020-07-10,16:38:13,95
2020-07-10,16:38:13,83
2020-07-10,16:38:14,78
2020-07-10,16:38:15,81
2020-07-10,16:38:16,85
2020-07-10,16:38:16,85
2020-07-10,16:38:17,82
2020-07-10,16:38:18,80
2020-07-10,16:38:18,87
2020-07-10,16:38:19,86
2020-07-10,16:38:20,83
2020-07-10,16:38:21,80
2020-07-10,16:38:21,80
2020-07-10,16:38:22,85
2020-07-10,16:38:23,87
2020-07-10,16:38:23,86
2020-07-10,16:38:24,84
2020-07-10,16:38:25,87
2020-07-10,16:38:26,89
2020-07-10,16:38:26,87
2020-07-10,16:38:27,84
2020-07-10,16:38:28,83
2020-07-10,16:38:28,87
2020-07-10,16:38:29,87
2020-07-10,16:38:30,85
2020-07-10,16:38:30,83
2020-07-10,16:38:31,83
2020-07-10,16:38:32,88
2020-07-10,16:38:32,89
2020-07-10,16:38:33,84
2020-07-10,16:38:34,83
2020-07-10,16:38:35,86
2020-07-10,16:38:35,90
2020-07-10,16:38:36,94
2020-07-10,16:38:42,85
2020-07-10,16:38:42,89
2020-07-10,16:38:43,93
2020-07-10,16:38:44,90
2020-07-10,16:38:44,88
2020-07-10,16:38:45,88
2020-07-10,16:38:46,91
2020-07-10,16:38:46,94
2020-07-10,16:38:47,95
2020-07-13,09:54:37,100
2020-07-13,09:54:40,91
2020-07-13,09:54:41,91
2020-07-13,09:54:44,86
2020-07-13,09:54:45,87
2020-07-13,09:54:46,84
2020-07-13,09:54:47,83
2020-07-13,09:54:47,82
2020-07-13,09:54:48,86
2020-07-13,09:54:57,88
2020-07-13,09:54:58,84
2020-07-13,09:54:58,80
2020-07-13,09:54:59,80
2020-07-13,09:55:00,84
2020-07-13,09:55:00,81
2020-07-13,09:55:01,78
2020-07-13,09:55:02,79
2020-07-13,09:55:03,82
2020-07-13,09:55:03,84
2020-07-13,09:55:04,82
2020-07-13,09:55:05,80
2020-07-13,09:55:06,86
2020-07-13,09:55:06,88
2020-07-13,09:55:07,90
2020-07-13,09:55:08,91
2020-07-13,09:55:08,95
2020-07-13,09:55:09,95
2020-07-13,09:55:10,87
2020-07-13,09:55:10,76
2020-07-13,09:55:11,83
2020-07-13,09:55:12,83
2020-07-13,09:55:13,78
2020-07-13,09:55:13,83
2020-07-13,09:55:14,76
2020-07-13,09:55:15,83
2020-07-13,09:55:16,81
2020-07-13,09:55:16,78
